Team	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	Transfer fees
Fortuna Craigowl	62	61	58	50	67	55	50	55	67	35	51	81	37	51	35	64	54	51	45	15	73	46	29	58	47	77	46	50	91	21	43	43	75	54	53	79	48	53	24
Kaylee United	56	66	75	30	40	52	23	42	39	51	63	70	46	58	57	54	65	56	30	32	50	55	31	49	37	99	62	72	65	60	44	75	66	56	52	89	62	62	4
Athletic Russell	40	43	55	46	62	34	47	41	24	40	48	40	59	48	49	64	63	46	62	30	83	48	47	80	51	54	44	96	66	14	70	31	51	113	40	100	61	58	40
The Bhoys	99	72	64	67	66	40	54	56	87	45	68	83	59	53	38	73	52	50	31	36	56	63	30	69	42	91	51	52	73	63	53	61	88	61	43	66	33	60	8
Ravenscraig Rovers	62	41	47	69	61	37	32	55	91	21	53	86	51	63	42	89	64	63	22	34	54	56	35	50	64	142	37	103	112	37	38	68	40	31	59	80	85	72	140
Luk to finish top	67	48	65	61	64	25	48	51	87	48	53	63	60	48	28	72	40	58	50	47	86	30	44	79	53	100	41	86	90	22	51	57	79	57	25	72	86	44	80
PeterHed FC	71	66	66	38	52	60	35	48	101	37	39	53	32	51	35	61	61	37	55	20	43	40	27	56	71	108	57	81	111	48	43	56	95	82	46	55	39	52	100
Allys Arabs	56	82	52	87	37	39	25	37	88	45	56	79	37	56	36	68	58	55	45	23	32	70	31	86	50	102	53	97	80	29	42	49	57	56	46	79	43	67	88
Craig XI	71	64	58	66	70	36	32	48	80	27	37	56	53	72	51	51	49	32	31	43	57	62	30	93	51	136	60	74	71	13	57	47	80	40	44	64	47	49	40
Hanging by a Fred	86	49	47	69	57	47	37	37	56	48	48	64	59	55	35	58	66	50	37	22	59	68	39	64	44	85	45	78	81	21	48	47	72	45	34	80	96	37	0
nacho afc	107	71	74	49	62	49	49	59	89	42	46	54	40	60	43	60	46	39	28	34	34	43	33	44	43	107	44	66	84	38	41	48	80	57	36	75	39	52	44
Bottom of the League	70	63	44	56	43	46	24	59	79	36	37	57	42	67	43	83	53	47	14	37	36	48	32	45	39	99	41	138	77	23	40	43	78	51	42	97	35	42	16
BirkieBoot Boys	80	41	33	56	40	26	41	49	73	48	40	52	51	44	45	64	59	40	37	22	46	56	47	36	42	119	25	63	84	76	42	48	61	54	58	75	40	54	20
Andys XI	78	74	64	44	65	50	39	49	48	29	36	61	34	56	53	56	42	48	23	30	41	51	46	60	28	65	47	89	67	45	63	60	38	49	31	124	25	74	116
Chiellini Con Carne	76	48	86	56	38	29	47	41	66	24	52	37	40	60	32	76	39	25	31	38	68	64	43	76	60	89	35	54	67	36	21	69	56	52	45	90	41	58	160
rhylie w	0	0	93	29	54	70	45	56	69	45	43	84	60	55	44	55	39	24	35	13	70	40	44	81	50	28	39	96	81	18	50	34	28	43	51	75	61	59	20
Flying without ings	87	66	48	55	34	40	50	52	53	35	41	52	42	58	44	47	54	31	32	25	52	63	46	40	38	60	56	41	43	13	56	29	73	31	59	48	43	33	0
Duck the Fee	41	36	41	32	36	31	37	90	65	38	37	29	28	53	46	40	26	19	10	33	46	43	38	40	29	48	39	74	48	22	37	63	30	38	15	114	43	53	8
The optimists	27	48	41	43	41	47	39	67	49	35	32	68	30	21	18	29	23	13	9	7	30	29	21	25	36	49	44	48	23	4	34	48	32	31	49	69	26	29	0
Unlikely lads	22	42	41	38	16	23	43	44	35	59	50	39	13	31	33	47	27	32	28	12	20	16	56	23	25	60	27	57	20	9	20	17	50	39	23	65	59	42	0
